_id,repo_full_name,username,num_commits,issues_closed,user_level,exp_earned
"""61830c7dabfbe9fa305ef3b8""",Group20GithubBots/test2,Group20GithubBots,4,3,6,156
"""61831390abfbe9fa305ef483""",PtatG/BotTesting,PtatG,2,0,2,12
"""618313a5abfbe9fa305ef486""",PtatG/BotTesting2,PtatG,1,0,2,11
