_id,repo_owner,repo_full_name,repo_name,repo_id,repo_url,username,user_id,event_type,push_time,num_commits,commits,exp_earned
"""61830c7dabfbe9fa305ef3b7""",Group20GithubBots,Group20GithubBots/test2,test2,424396683,https://github.com/Group20GithubBots/test2,Group20GithubBots,93682608,push,2021-11-03T22:26:04.740007,1,"[{""id"":""bcb2053dec28f1c116d17f57fb31e0eebbdb0ca3"",""commit_type"":""normal commit"",""author"":""Group20GithubBots"",""committer"":""web-flow"",""changes"":1,""timestamp"":""2021-11-03T18:26:03-04:00""}]",8
"""61830cc7abfbe9fa305ef3c2""",Group20GithubBots,Group20GithubBots/test2,test2,424396683,https://github.com/Group20GithubBots/test2,Group20GithubBots,93682608,push,2021-11-03T22:27:19.054432,1,"[{""id"":""80439144329f8d739f9c7a54c781e8951bee2015"",""commit_type"":""normal commit"",""author"":""Group20GithubBots"",""committer"":""web-flow"",""changes"":1,""timestamp"":""2021-11-03T18:27:18-04:00""}]",8
"""61830d2babfbe9fa305ef3f1""",Group20GithubBots,Group20GithubBots/test2,test2,424396683,https://github.com/Group20GithubBots/test2,Group20GithubBots,93682608,push,2021-11-03T22:28:59.595803,0,[],5
"""61830d48abfbe9fa305ef3fc""",Group20GithubBots,Group20GithubBots/test2,test2,424396683,https://github.com/Group20GithubBots/test2,Group20GithubBots,93682608,push,2021-11-03T22:29:28.103701,1,"[{""id"":""9c7837212dc3fe4e58d98151154c3e6cc332ef66"",""commit_type"":""normal commit"",""author"":""Group20GithubBots"",""committer"":""web-flow"",""changes"":1,""timestamp"":""2021-11-03T18:29:27-04:00""}]",8
"""61830d74abfbe9fa305ef40a""",Group20GithubBots,Group20GithubBots/test2,test2,424396683,https://github.com/Group20GithubBots/test2,Group20GithubBots,93682608,push,2021-11-03T22:30:12.489943,1,"[{""id"":""e617728249b820fb7b3432dc5363299b12a3c537"",""commit_type"":""pull request merged"",""author"":""Group20GithubBots"",""committer"":""web-flow"",""changes"":0,""timestamp"":""2021-11-03T18:30:11-04:00""}]",7
"""61831390abfbe9fa305ef482""",PtatG,PtatG/BotTesting,BotTesting,403897904,https://github.com/PtatG/BotTesting,PtatG,55119325,push,2021-11-03T22:56:16.379542,2,"[{""id"":""c460819e166523e705508e0023ce3c6c1a051378"",""commit_type"":""normal commit"",""author"":""PtatG"",""committer"":""PtatG"",""changes"":1,""timestamp"":""2021-11-03T18:56:01-04:00""},{""id"":""1c739a062698dee8472eb90bf1fcdcfe5bc606e8"",""commit_type"":""normal commit"",""author"":""PtatG"",""committer"":""PtatG"",""changes"":2,""timestamp"":""2021-11-03T18:56:13-04:00""}]",12
"""618313a5abfbe9fa305ef485""",PtatG,PtatG/BotTesting2,BotTesting2,415845653,https://github.com/PtatG/BotTesting2,PtatG,55119325,push,2021-11-03T22:56:37.596478,1,"[{""id"":""f8af61b087b2fbf175ecf94bfe786894bcc95232"",""commit_type"":""normal commit"",""author"":""PtatG"",""committer"":""PtatG"",""changes"":4,""timestamp"":""2021-11-03T18:56:35-04:00""}]",11
