_id,repo_owner,repo_full_name,repo_name,repo_id,repo_url,commits,pushes,issues_opened,issues_closed,pull_requests_opened,pull_requests_merged
"""61830c7c7d72a3cf8d84ed40""",Group20GithubBots,Group20GithubBots/test2,test2,424396683,https://github.com/Group20GithubBots/test2,4,5,4,3,1,1
"""618313907d72a3cf8d84ee03""",PtatG,PtatG/BotTesting,BotTesting,403897904,https://github.com/PtatG/BotTesting,2,1,0,0,0,0
"""618313a57d72a3cf8d84ee05""",PtatG,PtatG/BotTesting2,BotTesting2,415845653,https://github.com/PtatG/BotTesting2,1,1,0,0,0,0
